gyr_x,gyr_y,gyr_z,acc_x,acc_y,acc_z
31.311035,2.4414062,179.32129,-0.5674258,5.759252,-11.886014
59.08203,14.282227,153.38135,0.01436521,4.212598,-12.656947
81.17676,37.841797,130.3711,0.5566519,1.2162545,-11.626244
98.38867,51.3916,115.41748,3.9671922,-1.7070658,-8.735245
113.95264,25.024414,101.68457,2.6252422,1.7369933,-11.694478
126.40381,35.339355,88.80615,3.1507695,0.4189853,-10.765528
136.71875,46.99707,79.89502,2.4145525,-2.4516625,-11.027693
141.8457,52.124023,90.4541,0.90500826,-4.9548006,-8.359355
130.61523,35.461426,123.22998,-0.6404489,-0.35314476,-9.996989
141.11328,22.216797,123.168945,-1.364695,0.20829555,-6.9599442
142.45605,0.79345703,112.30469,0.050278235,-1.0905589,-5.6156
113.464355,-48.15674,122.19238,0.3196259,-0.33159694,-5.957971
74.34082,-46.569824,123.65723,1.2030864,5.9292407,-15.292963
-28.808594,32.104492,112.24365,3.7433343,1.7046716,-5.805939
-31.066895,45.837402,137.93945,-0.37948096,2.1894975,-7.5285673
-9.216309,3.8452148,149.04785,-2.2469583,6.149507,-10.370484
-7.9345703,-5.493164,125.97656,-1.2449849,6.435614,-9.491813
16.113281,-11.352539,104.12598,-0.61052144,5.3043537,-2.4480712
40.58838,-12.145996,84.53369,0.79846627,7.6351094,-12.257115
28.808594,79.40674,58.95996,1.8926164,4.1503487,-7.4148426
51.879883,86.42578,57.678223,-0.07182605,3.0346506,-8.371326
90.08789,58.044434,50.109863,0.21547815,3.064578,-9.637859
125.61035,40.222168,35.7666,0.45250413,1.7705121,-7.7105265
154.41895,-41.748047,52.18506,0.9840169,4.268862,-10.590752
128.05176,2.319336,53.833008,2.4193408,2.9340942,-8.248025
110.961914,-2.9907227,81.970215,0.80086046,4.6244006,-8.058883
86.242676,-5.3710938,103.8208,-0.9900024,8.686164,-8.403648
70.3125,-5.7373047,101.989746,-1.2389994,10.33936,-8.706514
55.603027,-6.225586,92.041016,0.6560113,9.534908,-8.9998045
30.944824,-4.9438477,91.24756,0.59376204,7.9092455,-9.263166
-0.48828125,-2.380371,92.77344,0.7230489,5.6347537,-8.759187
-14.709473,-1.7700195,96.069336,0.23104046,2.7760768,-8.7125
-2.8686523,-2.380371,106.99463,0.24061728,0.32561144,-8.167819
28.076172,-6.4086914,124.45068,1.2270284,0.33518824,-7.893683
